date,tmed,yd
2025-01-01,6.3,1
2025-01-02,7.2,2
2025-01-03,8.4,3
2025-01-04,9.7,4
2025-01-05,10.4,5
2025-01-06,10.25,6
2025-01-07,9.1,7
2025-01-08,11.2,8
2025-01-09,13.05,9
2025-01-10,11.55,10
2025-01-11,13.25,11
2025-01-12,9.55,12
2025-01-13,6.0,13
2025-01-14,4.800000000000001,14
2025-01-15,4.199999999999999,15
2025-01-16,5.25,16
2025-01-17,6.1,17
2025-01-18,5.800000000000001,18
2025-01-19,6.35,19
2025-01-20,9.0,20
2025-01-21,11.5,21
2025-01-22,12.350000000000001,22
2025-01-23,11.399999999999999,23
2025-01-24,12.1,24
2025-01-25,10.9,25
2025-01-26,11.65,26
2025-01-27,12.850000000000001,27
2025-01-28,9.95,28
2025-01-29,9.05,29
2025-01-30,9.45,30
2025-01-31,8.100000000000001,31
2025-02-01,8.45,32
2025-02-02,8.2,33
2025-02-03,8.15,34
2025-02-04,7.75,35
2025-02-05,8.149999999999999,36
2025-02-06,7.25,37
2025-02-07,7.8,38
2025-02-08,7.55,39
2025-02-09,9.6,40
2025-02-10,10.3,41
2025-02-11,11.05,42
2025-02-12,10.55,43
2025-02-13,11.05,44
2025-02-14,11.0,45
2025-02-15,11.45,46
2025-02-16,11.45,47
2025-02-17,10.9,48
2025-02-18,12.25,49
2025-02-19,12.3,50
2025-02-20,12.8,51
2025-02-21,12.850000000000001,52
2025-02-22,10.850000000000001,53
2025-02-23,10.45,54
2025-02-24,10.95,55
2025-02-25,11.2,56
2025-02-26,9.45,57
2025-02-27,9.4,58
2025-02-28,10.1,59
2025-03-01,9.45,60
2025-03-02,8.600000000000001,61
2025-03-03,10.5,62
2025-03-04,12.0,63
2025-03-05,11.9,64
2025-03-06,12.0,65
2025-03-07,12.2,66
2025-03-08,11.45,67
2025-03-09,10.45,68
2025-03-10,10.2,69
2025-03-11,11.05,70
2025-03-12,9.7,71
2025-03-13,8.850000000000001,72
2025-03-14,7.75,73
2025-03-15,6.949999999999999,74
2025-03-16,7.45,75
2025-03-17,8.55,76
2025-03-18,10.9,77
2025-03-19,13.25,78
2025-03-20,14.8,79
2025-03-21,12.6,80
2025-03-22,9.7,81
2025-03-23,8.8,82
2025-03-24,9.8,83
2025-03-25,11.1,84
2025-03-26,11.0,85
2025-03-27,11.2,86
2025-03-28,11.4,87
2025-03-29,12.1,88
2025-03-30,11.850000000000001,89
2025-03-31,13.350000000000001,90
2025-04-01,14.1,91
2025-04-02,13.4,92
2025-04-03,13.0,93
2025-04-04,14.3,94
2025-04-05,13.7,95
2025-04-06,13.850000000000001,96
2025-04-07,14.4,97
2025-04-08,15.8,98
2025-04-09,15.95,99
2025-04-10,16.15,100
2025-04-11,15.7,101
2025-04-12,15.3,102
2025-04-13,14.35,103
2025-04-14,13.45,104
2025-04-15,10.149999999999999,105
2025-04-16,10.149999999999999,106
2025-04-17,12.25,107
2025-04-18,14.0,108
2025-04-19,11.5,109
2025-04-20,11.75,110
2025-04-21,12.9,111
2025-04-22,13.25,112
2025-04-23,14.3,113
2025-04-24,16.200000000000003,114
2025-04-25,16.45,115
2025-04-26,15.649999999999999,116
